id,slug,title,summary,content,tags,cover_url,is_hidden,created_at,updated_at
cd370b54-2e80-463a-af9c-24be69519683,creative-agency-website,Creative Agency Website,A visually engaging creative agency website demonstrating advanced frontend techniques.,"This project showcases frontend development using modern frameworks, responsive layouts, design systems, and accessibility best practices.","{""Nextjs 14"",""Server Components"",""SSR""}",https://placehold.co/600x400?text=Placeholder+Image,True,2025-04-28T19:04:50.961358,2025-06-05T19:04:50.961358
487b02c7-fa91-43c2-b583-ca55afbedebc,recipe-sharing-platform-ui,Recipe Sharing Platform UI,A visually engaging recipe sharing platform ui demonstrating advanced frontend techniques.,"This project showcases frontend development using modern frameworks, responsive layouts, design systems, and accessibility best practices.","{""React"",""Redux Toolkit"",""Jest""}",https://placehold.co/600x400?text=Placeholder+Image,True,2023-04-10T18:44:54.824705,2023-07-11T18:44:54.824705
460f01a9-90e6-4248-b430-3d4b1c85e8ec,travel-blog-layout,Travel Blog Layout,A visually engaging travel blog layout demonstrating advanced frontend techniques.,"This project showcases frontend development using modern frameworks, responsive layouts, design systems, and accessibility best practices.","{""Sass"",""BEM"",""Responsive Design""}",https://placehold.co/600x400?text=Placeholder+Image,True,2023-08-13T19:52:28.218126,2023-09-25T19:52:28.218126
fd8f9476-2341-4bca-a0ed-a15c4694f8ff,photography-showcase,Photography Showcase,A visually engaging photography showcase demonstrating advanced frontend techniques.,"This project showcases frontend development using modern frameworks, responsive layouts, design systems, and accessibility best practices.","{""Astro"",""Markdown"",""Content Collections""}",https://placehold.co/600x400?text=Placeholder+Image,True,2024-12-21T15:20:28.403861,2025-03-20T15:20:28.403861
516d78e1-07ac-41fe-8410-ab2ad9278a09,freelancer-portfolio-template,Freelancer Portfolio Template,A visually engaging freelancer portfolio template demonstrating advanced frontend techniques.,"This project showcases frontend development using modern frameworks, responsive layouts, design systems, and accessibility best practices.","{""Vanilla JS"",""CSS Grid"",""Flexbox""}",https://placehold.co/600x400?text=Placeholder+Image,True,2024-01-08T20:43:53.914075,2024-03-06T20:43:53.914075
633501c7-e75a-49f0-aa13-6871a4dc7085,event-landing-page,Event Landing Page,A visually engaging event landing page demonstrating advanced frontend techniques.,"This project showcases frontend development using modern frameworks, responsive layouts, design systems, and accessibility best practices.","{""Remix"",""Tailwind"",""Prisma""}",https://placehold.co/600x400?text=Placeholder+Image,True,2024-11-15T20:03:12.376662,2024-12-22T20:03:12.376662
e451f955-2da5-43ac-ad56-137a6377027b,product-launch-microsite,Product Launch Microsite,A visually engaging product launch microsite demonstrating advanced frontend techniques.,"This project showcases frontend development using modern frameworks, responsive layouts, design systems, and accessibility best practices.","{""React"",""Storybook"",""Design System""}",https://placehold.co/600x400?text=Placeholder+Image,True,2025-06-19T12:50:20.712790,2025-09-21T12:50:20.712790
d8b42aea-3694-4022-98c1-5d7a7a4aa392,startup-homepage-concept,Startup Homepage Concept,A visually engaging startup homepage concept demonstrating advanced frontend techniques.,"This project showcases frontend development using modern frameworks, responsive layouts, design systems, and accessibility best practices.","{""Nextjs 15"",""Clerk Auth"",""Shadcn/ui""}",https://placehold.co/600x400?text=Placeholder+Image,True,2023-06-06T15:18:37.461721,2023-09-01T15:18:37.461721
98dcae99-a90f-4d08-85a7-6f65254c4830,web-animation-playground,Web Animation Playground,A visually engaging web animation playground demonstrating advanced frontend techniques.,"This project showcases frontend development using modern frameworks, responsive layouts, design systems, and accessibility best practices.","{""Vue 3"",""Nuxt"",""TypeScript""}",https://placehold.co/600x400?text=Placeholder+Image,True,2023-09-01T15:40:44.336008,2023-10-18T15:40:44.336008
0bd5c33e-7e6f-469f-8735-bab209f0c3e1,modern-saas-dashboard-ui,Modern SaaS Dashboard UI,A visually engaging modern saas dashboard ui demonstrating advanced frontend techniques.,"This project showcases frontend development using modern frameworks, responsive layouts, design systems, and accessibility best practices.","{""Vite"",""React Query"",""TanStack Router""}",https://placehold.co/600x400?text=Placeholder+Image,True,2023-12-27T00:40:26.149388,2024-03-17T00:40:26.149388
